datetime,temperature,humidity,wind_speed,pressure,rainfall_3h,weather_desc
2025-09-11 20:30:00,24.96,87,2.34,1009,1.45,light rain
2025-09-11 23:30:00,23.84,88,1.99,1009,0.53,light rain
2025-09-12 02:30:00,22.26,90,2.69,1008,0.23,light rain
2025-09-12 05:30:00,21.76,90,2.57,1009,0.0,overcast clouds
2025-09-12 08:30:00,23.84,85,3.34,1011,0.0,overcast clouds
2025-09-12 11:30:00,27.56,72,3.13,1010,0.0,overcast clouds
2025-09-12 14:30:00,29.1,65,3.82,1007,0.14,light rain
2025-09-12 17:30:00,26.69,81,3.39,1007,0.48,light rain
2025-09-12 20:30:00,24.14,85,2.84,1009,0.26,light rain
2025-09-12 23:30:00,23.51,87,3.14,1009,0.17,light rain
2025-09-13 02:30:00,23.0,88,3.15,1008,0.0,overcast clouds
2025-09-13 05:30:00,22.67,88,2.89,1008,0.0,overcast clouds
2025-09-13 08:30:00,25.4,81,3.86,1010,0.0,overcast clouds
2025-09-13 11:30:00,29.27,66,3.48,1009,0.0,broken clouds
2025-09-13 14:30:00,30.59,60,2.9,1006,0.16,light rain
2025-09-13 17:30:00,27.15,76,1.86,1006,0.41,light rain
2025-09-13 20:30:00,25.75,79,1.98,1008,0.13,light rain
2025-09-13 23:30:00,24.58,83,1.5,1008,0.87,light rain
2025-09-14 02:30:00,23.24,90,1.02,1007,2.62,light rain
2025-09-14 05:30:00,23.48,87,1.67,1007,0.8,light rain
2025-09-14 08:30:00,26.52,81,2.46,1009,1.01,light rain
2025-09-14 11:30:00,29.54,65,3.07,1008,0.83,light rain
2025-09-14 14:30:00,29.75,66,2.54,1006,2.39,light rain
2025-09-14 17:30:00,26.91,82,2.13,1005,3.58,moderate rain
2025-09-14 20:30:00,24.54,87,2.59,1007,3.84,moderate rain
2025-09-14 23:30:00,23.19,94,3.07,1007,3.3,moderate rain
2025-09-15 02:30:00,23.02,94,3.3,1006,2.08,light rain
2025-09-15 05:30:00,23.01,94,3.28,1006,1.11,light rain
2025-09-15 08:30:00,23.92,92,2.77,1008,0.59,light rain
2025-09-15 11:30:00,27.0,81,2.82,1007,2.51,light rain
2025-09-15 14:30:00,29.23,69,3.06,1004,1.37,light rain
2025-09-15 17:30:00,27.1,83,2.16,1004,3.18,moderate rain
2025-09-15 20:30:00,23.61,92,2.54,1007,6.5,moderate rain
2025-09-15 23:30:00,23.03,92,3.19,1007,2.96,light rain
2025-09-16 02:30:00,22.41,94,2.94,1006,0.0,overcast clouds
2025-09-16 05:30:00,21.93,95,2.97,1007,0.0,overcast clouds
2025-09-16 08:30:00,24.33,88,4.29,1009,0.0,broken clouds
2025-09-16 11:30:00,27.47,76,4.15,1008,1.23,light rain
2025-09-16 14:30:00,27.45,77,2.37,1005,4.33,moderate rain
2025-09-16 17:30:00,25.67,87,2.24,1005,5.19,moderate rain
